,date,Code,CO,NO_2,NOx,O_3,PM10,SO_2,NO,station,type,lat,lon
0,2017-01-01,mc010,,30.954545454545453,39.45454545454545,24.666666666666668,36.625,,5.7727272727272725,Wedding,Hintergrund,52.543040999999995,13.349326000000001
1,2017-01-01,mc077,,27.791666666666668,29.666666666666668,,34.75,,1.3333333333333333,Buch,Stadtrand,52.64416666666666,13.483055555555556
2,2017-01-01,mc115,,43.166666666666664,91.375,,,,31.5,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
3,2017-01-01,mc117,0.4208333333333334,40.916666666666664,89.16666666666667,,63.875,,31.833333333333332,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
4,2017-01-01,mc042,,32.875,40.875,18.625,39.958333333333336,,5.25,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
5,2017-01-01,mc124,,38.958333333333336,91.08333333333333,,54.041666666666664,,34.166666666666664,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
6,2017-01-01,mc143,,48.916666666666664,116.70833333333333,,50.625,,44.791666666666664,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
7,2017-01-01,mc032,,19.0,19.375,27.125,24.208333333333332,,0.125,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
8,2017-01-01,mc145,,13.375,14.0,39.916666666666664,,,0.5,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
9,2017-01-01,mc171,,35.541666666666664,43.416666666666664,,39.666666666666664,,5.083333333333333,Mitte,Hintergrund,52.51360555555556,13.418833333333334
10,2017-01-01,mc027,,19.708333333333332,21.25,26.958333333333332,,,0.9166666666666666,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
11,2017-01-01,mc174,0.41250000000000003,37.083333333333336,65.58333333333333,,75.95833333333333,35.73913043478261,18.916666666666668,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
12,2017-01-01,mc220,,45.25,106.5,,51.083333333333336,,40.041666666666664,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
13,2017-01-01,mc018,,32.791666666666664,39.666666666666664,,,,4.541666666666667,Schöneberg,Hintergrund,52.48581388888889,13.348775
14,2017-01-01,mc282,,31.083333333333332,37.541666666666664,,,2.25,4.125,Karlshorst,Hintergrund,52.485296,13.529504000000001
15,2017-01-01,mc085,,20.583333333333332,22.166666666666668,27.041666666666668,26.541666666666668,,1.2916666666666667,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
16,2017-01-02,mc282,,35.0,42.208333333333336,,,0.9583333333333334,4.833333333333333,Karlshorst,Hintergrund,52.485296,13.529504000000001
17,2017-01-02,mc042,,37.208333333333336,50.208333333333336,13.791666666666666,21.375,,8.5,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
18,2017-01-02,mc174,0.4541666666666668,50.916666666666664,123.125,,25.666666666666668,0.5,47.333333333333336,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
19,2017-01-02,mc027,,22.041666666666668,23.458333333333332,21.75,,,1.125,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
20,2017-01-02,mc124,,56.458333333333336,179.79166666666666,,26.416666666666668,,80.70833333333333,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
21,2017-01-02,mc032,,14.333333333333334,15.0,27.208333333333332,17.625,,0.375,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
22,2017-01-02,mc220,,57.916666666666664,174.20833333333334,,28.166666666666668,,76.16666666666667,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
23,2017-01-02,mc115,,40.708333333333336,76.75,,,,23.75,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
24,2017-01-02,mc117,0.4500000000000001,49.666666666666664,119.91666666666667,,23.083333333333332,,46.083333333333336,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
25,2017-01-02,mc171,,33.041666666666664,41.041666666666664,,17.416666666666668,,5.291666666666667,Mitte,Hintergrund,52.51360555555556,13.418833333333334
26,2017-01-02,mc085,,31.708333333333332,35.458333333333336,16.75,18.291666666666668,,2.625,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
27,2017-01-02,mc018,,31.916666666666668,38.791666666666664,,,,4.583333333333333,Schöneberg,Hintergrund,52.48581388888889,13.348775
28,2017-01-02,mc143,,42.625,76.83333333333333,,23.291666666666668,,22.333333333333332,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
29,2017-01-02,mc145,,20.375,21.291666666666668,23.666666666666668,,,0.625,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
30,2017-01-02,mc010,,33.54545454545455,43.81818181818182,16.125,19.25,,6.7272727272727275,Wedding,Hintergrund,52.543040999999995,13.349326000000001
31,2017-01-02,mc077,,18.565217391304348,19.391304347826086,,17.75,,0.6521739130434783,Buch,Stadtrand,52.64416666666666,13.483055555555556
32,2017-01-03,mc143,,36.208333333333336,73.79166666666667,,16.208333333333332,,24.708333333333332,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
33,2017-01-03,mc220,,47.958333333333336,134.58333333333334,,19.416666666666668,,56.791666666666664,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
34,2017-01-03,mc174,0.34166666666666673,41.458333333333336,92.58333333333333,,19.375,0.08333333333333333,33.375,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
35,2017-01-03,mc124,,40.5,103.66666666666667,,17.5,,41.416666666666664,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
36,2017-01-03,mc282,,20.75,23.791666666666668,,,0.375,2.0,Karlshorst,Hintergrund,52.485296,13.529504000000001
37,2017-01-03,mc117,0.29999999999999993,29.791666666666668,64.5,,15.875,,22.708333333333332,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
38,2017-01-03,mc018,,16.625,20.625,,,,2.75,Schöneberg,Hintergrund,52.48581388888889,13.348775
39,2017-01-03,mc115,,30.708333333333332,59.208333333333336,,,,18.541666666666668,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
40,2017-01-03,mc032,,9.625,9.666666666666666,47.791666666666664,12.125,,0.0,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
41,2017-01-03,mc042,,25.0,31.25,36.75,14.541666666666666,,4.0,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
42,2017-01-03,mc010,,24.681818181818183,31.40909090909091,36.416666666666664,14.416666666666666,,4.545454545454546,Wedding,Hintergrund,52.543040999999995,13.349326000000001
43,2017-01-03,mc077,,14.625,31.375,,12.5,,10.875,Buch,Stadtrand,52.64416666666666,13.483055555555556
44,2017-01-03,mc145,,9.625,9.791666666666666,47.208333333333336,,,0.0,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
45,2017-01-03,mc171,,22.458333333333332,25.916666666666668,,12.208333333333334,,2.1666666666666665,Mitte,Hintergrund,52.51360555555556,13.418833333333334
46,2017-01-03,mc027,,12.041666666666666,11.875,47.5,,,0.125,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
47,2017-01-03,mc085,,16.25,17.083333333333332,41.708333333333336,11.791666666666666,,0.4583333333333333,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
48,2017-01-04,mc143,,23.416666666666668,35.375,,10.875,,7.833333333333333,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
49,2017-01-04,mc145,,5.833333333333333,6.666666666666667,63.333333333333336,,,0.625,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
50,2017-01-04,mc171,,18.708333333333332,21.291666666666668,,7.958333333333333,,1.7083333333333333,Mitte,Hintergrund,52.51360555555556,13.418833333333334
51,2017-01-04,mc124,,40.791666666666664,100.83333333333333,,12.791666666666666,,39.291666666666664,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
52,2017-01-04,mc018,,16.0,17.541666666666668,,,,0.9166666666666666,Schöneberg,Hintergrund,52.48581388888889,13.348775
53,2017-01-04,mc027,,10.375,10.375,62.875,,,0.0,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
54,2017-01-04,mc032,,5.083333333333333,5.125,64.58333333333333,7.541666666666667,,0.0,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
55,2017-01-04,mc042,,20.083333333333332,25.375,53.041666666666664,10.166666666666666,,3.4583333333333335,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
56,2017-01-04,mc174,0.27499999999999997,36.791666666666664,70.45833333333333,,12.666666666666666,1.3333333333333333,22.083333333333332,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
57,2017-01-04,mc115,,23.5,39.875,,,,10.625,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
58,2017-01-04,mc085,,10.875,10.875,60.041666666666664,7.541666666666667,,0.0,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
59,2017-01-04,mc010,,19.636363636363637,24.545454545454547,54.583333333333336,6.916666666666667,,3.3181818181818183,Wedding,Hintergrund,52.543040999999995,13.349326000000001
60,2017-01-04,mc220,,43.833333333333336,103.08333333333333,,14.666666666666666,,38.791666666666664,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
61,2017-01-04,mc282,,15.833333333333334,19.333333333333332,,,1.625,2.2083333333333335,Karlshorst,Hintergrund,52.485296,13.529504000000001
62,2017-01-04,mc117,0.27083333333333326,30.416666666666668,59.166666666666664,,10.75,,18.75,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
63,2017-01-04,mc077,,9.625,26.166666666666668,,7.666666666666667,,10.791666666666666,Buch,Stadtrand,52.64416666666666,13.483055555555556
64,2017-01-05,mc115,,31.75,57.708333333333336,,,,17.0,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
65,2017-01-05,mc042,,23.291666666666668,29.791666666666668,49.0,8.25,,4.208333333333333,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
66,2017-01-05,mc077,,3.7916666666666665,5.291666666666667,,5.291666666666667,,0.9583333333333334,Buch,Stadtrand,52.64416666666666,13.483055555555556
67,2017-01-05,mc171,,19.083333333333332,24.291666666666668,,7.083333333333333,,3.4166666666666665,Mitte,Hintergrund,52.51360555555556,13.418833333333334
68,2017-01-05,mc032,,6.625,6.791666666666667,61.833333333333336,5.0,,0.041666666666666664,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
69,2017-01-05,mc018,,18.25,22.0,,,,2.375,Schöneberg,Hintergrund,52.48581388888889,13.348775
70,2017-01-05,mc174,0.24583333333333332,21.708333333333332,31.291666666666668,,10.208333333333334,1.0,6.25,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
71,2017-01-05,mc027,,15.166666666666666,15.833333333333334,56.625,,,0.4583333333333333,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
72,2017-01-05,mc085,,6.291666666666667,7.083333333333333,63.0,4.625,,0.625,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
73,2017-01-05,mc145,,4.909090909090909,4.7272727272727275,61.095238095238095,,,0.18181818181818182,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
74,2017-01-05,mc282,,15.458333333333334,17.875,,,0.125,1.7083333333333333,Karlshorst,Hintergrund,52.485296,13.529504000000001
75,2017-01-05,mc124,,42.666666666666664,98.5,,12.0,,36.583333333333336,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
